customer_id,signup_date,postcode_prefix,loyalty_tier,acquisition_channel
CUS001,2020-03-15,SW,gold,organic
CUS002,2020-06-22,M,silver,paid_search
CUS003,2020-08-10,LS,bronze,referral
CUS004,2020-10-05,B,gold,organic
CUS005,2021-01-18,N,silver,tv_ad
CUS006,2021-03-29,SE,bronze,paid_search
CUS007,2021-05-14,NW,silver,organic
CUS008,2021-07-07,E,bronze,referral
CUS009,2021-09-20,EH,gold,organic
CUS010,2021-11-03,CF,silver,tv_ad
CUS011,2022-01-25,OX,bronze,paid_search
CUS012,2022-03-08,NE,silver,organic
CUS013,2022-04-17,W,bronze,referral
CUS014,2022-06-30,YO,gold,tv_ad
CUS015,2022-08-12,BN,silver,paid_search
CUS016,2022-10-01,RG,bronze,organic
CUS017,2022-11-15,BS,silver,tv_ad
CUS018,2023-01-07,CV,bronze,paid_search
CUS019,2023-02-20,DN,gold,organic
CUS020,2023-04-11,CH,silver,referral
CUS021,2023-06-03,DE,bronze,paid_search
CUS022,2023-07-25,DH,silver,tv_ad
CUS023,2023-09-14,AB,gold,organic
CUS024,2023-11-01,DL,bronze,referral
CUS025,2024-01-09,DY,silver,paid_search
CUS026,2024-02-22,EN,bronze,tv_ad
CUS027,2024-04-05,IG,silver,organic
CUS028,2024-05-18,BT,bronze,paid_search
CUS029,2024-07-02,BR,gold,referral
CUS030,2024-08-14,EC,bronze,organic
